Summary,Issue id,Status,Priority,Resolution,Created,Resolved,Affects Version/s,Description
ABFS: Change default Readahead Queue Depth from num(processors) to const,13366703,Resolved,Major,Fixed,22/Mar/21 11:05,10/Jul/21 09:40,3.3.1,"The default value of readahead queue depth is currently set to the number of available processors. However, this can result in one inputstream instance consuming more processor time. To ensure equal thread allocation during read for all inputstreams created in a session, we change the default readahead queue depth to a constant (2)."
Upgrade JUnit to 4.13.1,13367296,Resolved,Major,Fixed,24/Mar/21 16:36,25/Mar/21 11:31,,"A reported vulnerability reported in JUnit4.7-4.13.
The JUnit4 test rule [TemporaryFolder on unix-like systems does not limit access to created files|https://github.com/junit-team/junit4/security/advisories/GHSA-269g-pwp5-87pp]"
Magic committer to downgrade abort in cleanup if list uploads fails with access denied,13360937,Resolved,Major,Fixed,25/Feb/21 11:21,12/Jun/21 16:47,3.3.0,"If the caller doesn't have ""s3:ListBucketMultipartUploads"" permissions on a bucket, then magic committer cleanup fails. 
{code}
	at org.apache.hadoop.fs.s3a.S3AUtils.translateException(S3AUtils.java:247)
	at org.apache.hadoop.fs.s3a.Invoker.once(Invoker.java:112)
	at org.apache.hadoop.fs.s3a.Invoker.lambda$retry$4(Invoker.java:315)
	at org.apache.hadoop.fs.s3a.Invoker.retryUntranslated(Invoker.java:407)
	at org.apache.hadoop.fs.s3a.Invoker.retry(Invoker.java:311)
	at org.apache.hadoop.fs.s3a.Invoker.retry(Invoker.java:286)
	at org.apache.hadoop.fs.s3a.S3AFileSystem.listMultipartUploads(S3AFileSystem.java:4549)
	at org.apache.hadoop.fs.s3a.commit.CommitOperations.listPendingUploadsUnderPath(CommitOperations.java:361)
	at org.apache.hadoop.fs.s3a.commit.AbstractS3ACommitter.abortPendingUploadsInCleanup(AbstractS3ACommitter.java:671)
	at org.apache.hadoop.fs.s3a.commit.AbstractS3ACommitter.cleanup(AbstractS3ACommitter.java:770)
{code}
it should just swallow this, given it's best effort "
property 'ssl.server.keystore.location' has not been set in the ssl configuration file,13361160,Resolved,Major,Not A Problem,26/Feb/21 11:01,10/Jun/21 08:02,2.8.5,"I trying to install hadoop cluster HA , but datanode does not start properly; I get this errror:

2021-02-23 17:13:26,934 ERROR org.apache.hadoop.hdfs.server.datanode.DataNode: Exception in secureMain
java.io.IOException: java.security.GeneralSecurityException: The property 'ssl.server.keystore.location' has not been set in the ssl configuration file.
at org.apache.hadoop.hdfs.server.datanode.web.DatanodeHttpServer.<init>(DatanodeHttpServer.java:199)
at org.apache.hadoop.hdfs.server.datanode.DataNode.startInfoServer(DataNode.java:905)
at org.apache.hadoop.hdfs.server.datanode.DataNode.startDataNode(DataNode.java:1303)
at org.apache.hadoop.hdfs.server.datanode.DataNode.<init>(DataNode.java:481)
at org.apache.hadoop.hdfs.server.datanode.DataNode.makeInstance(DataNode.java:2609)
at org.apache.hadoop.hdfs.server.datanode.DataNode.instantiateDataNode(DataNode.java:2497)
at org.apache.hadoop.hdfs.server.datanode.DataNode.createDataNode(DataNode.java:2544)
at org.apache.hadoop.hdfs.server.datanode.DataNode.secureMain(DataNode.java:2729)
at org.apache.hadoop.hdfs.server.datanode.DataNode.main(DataNode.java:2753)
Caused by: java.security.GeneralSecurityException: The property 'ssl.server.keystore.location' has not been set in the ssl configuration file.
at org.apache.hadoop.security.ssl.FileBasedKeyStoresFactory.init(FileBasedKeyStoresFactory.java:152)
at org.apache.hadoop.security.ssl.SSLFactory.init(SSLFactory.java:148)
at org.apache.hadoop.hdfs.server.datanode.web.DatanodeHttpServer.<init>(DatanodeHttpServer.java:197)
... 8 more

But in my ssl-server.xml i correctly set this property:

<property>
<name>ssl.server.keystore.location</name>
<value>/data/hadoop/server.jks</value>
<description>Keystore to be used by clients like distcp. Must be
specified.
</description>
</property>

<property>
<name>ssl.server.keystore.password</name>
<value>xxxx</value>
<description>Optional. Default value is """".
</description>
</property>

<property>
<name>ssl.server.keystore.keypassword</name>
<value>xxxxx</value>
<description>Optional. Default value is """".
</description>
</property>

<property>
<name>ssl.server.keystore.type</name>
<value>jks</value>
<description>Optional. The keystore file format, default value is ""jks"".
</description>
</property>

Do you have any suggestion to solve this problem?
my hadoop version is: 2.8.5
java version: 8
SO: centos 7"
Fix logging typo in ShutdownHookManager,13355043,Resolved,Major,Fixed,27/Jan/21 23:05,31/Jan/21 12:13,,"Three log messages in {{ShutdownHookManager}} have a typo, saying ""ShutdownHookManger"". Should be ""ShutdownHookManager"""
Allow ProtobufRpcEngine to be extensible,13366807,Resolved,Major,Fixed,22/Mar/21 19:33,17/May/21 07:38,,"The ProtobufRpcEngine class doesn't allow for new RpcEngine implementations to extend some of its inner classes (e.g. Invoker and Server.ProtoBufRpcInvoker). Also, some of its methods are long enough such that overriding them would result in a lot of code duplication (e.g. Invoker#invoke and Server.ProtoBufRpcInvoker#call).

When implementing a new RpcEngine, it would be helpful to reuse most of the code already in ProtobufRpcEngine. This would allow new fields to be added to the RPC header or message with minimal code changes."
skip-dir option is not processed by Yetus,13361677,Resolved,Major,Fixed,01/Mar/21 18:55,09/Mar/21 02:12,,"Running test patch locally does not work anymore after the Yetus upgrade


{code:bash}
dev-support/bin/test-patch --plugins=""maven,checkstyle"" --test-parallel=true patch-file.patch
{code}

Error is 

{code:bash}
Testing  patch on trunk.
ERROR: Unprocessed flag(s): --skip-dir

    environment {
        SOURCEDIR = 'src'
        // will also need to change notification section below
        PATCHDIR = 'out'
        DOCKERFILE = ""${SOURCEDIR}/dev-support/docker/Dockerfile""
        YETUS='yetus'
        // Branch or tag name.  Yetus release tags are 'rel/X.Y.Z'
        YETUS_VERSION='rel/0.13.0'
/skip-
                        # URL for user-side presentation in reports and such to our artifacts

 _____     _ _                _
|  ___|_ _(_) |_   _ _ __ ___| |
| |_ / _` | | | | | | '__/ _ \ |
|  _| (_| | | | |_| | | |  __/_|
|_|  \__,_|_|_|\__,_|_|  \___(_)



| Vote |    Subsystem |  Runtime   | Comment
============================================================================
|  -1  |       yetus  |   0m 05s   | Unprocessed flag(s): --skip-dir
{code}

It seems that the ""{{--skip-dir}}"" option supported Yetus release prior to 0.11."
Replace currentTimeMillis with monotonicNow in elapsed time,13351164,Resolved,Major,Won't Fix,08/Jan/21 20:39,04/Jun/21 21:53,,"I noticed that there is a widespread incorrect usage of {{System.currentTimeMillis()}}  throughout the hadoop code.

For example:

{code:java}
// Some comments here
long start = System.currentTimeMillis();
while (System.currentTimeMillis() - start < timeout) {
  // Do something
}
{code}

Elapsed time should be measured using `monotonicNow()`."
Decommission S3Guard,13357600,Resolved,Major,Duplicate,08/Feb/21 18:10,04/Jun/21 09:32,3.3.0,"S3Guard is obsolete in functionality and performance. Remove, carefully.

Goals: 
* make it easy for the 3.3.1 release to turn off s3guard
* remove it from the code for ease of maintenance
* strip down the tests
* be happy"
ITestAssumeRole.testAssumeRoleBadInnerAuth failure,13353110,Resolved,Major,Fixed,18/Jan/21 16:13,24/Mar/21 17:00,3.3.0,"failure of test {{ITestAssumeRole.testAssumeRoleBadInnerAuth}} where a failure was expected, but the error text was wrong.

Either STS has changed its error text or something is changing where the failure happens.

Given the nature of the test, it may be simplest to keep the expectation of an FS init faiure, but remove the text match"
Collect more S3A IOStatistics,13352271,Resolved,Major,Fixed,14/Jan/21 14:23,25/May/21 14:47,,"collect more stats of 
* how long FS API calls are taking
* what is going wrong

API
* Duration of rename(), delete() other common API Calls.
* openFile: how long the open operation is taking, split of open and openfile
* time to initialize FS instance (maybe better in FileSystem.cache?)
* create: Time to complete the create checks
* finishedWrite: time to execute finishedWrite operations (which may include bulk deletes)

Failure tracking: what failures are we seeing as counters
Interrupts, connections, auth failures:

This would be done in S3ARetryPolicy with an IOStatisticsStore passed in."
refactoring the signature of S3ClientFactory breaks hboss compile,13354693,Resolved,Major,Won't Fix,26/Jan/21 15:26,25/Mar/21 10:27,3.3.1,...restore removed S3ClientFactory method and call it as default by new one
Change String.getBytes() to DFSUtil.string2Bytes(String) to avoid Unsupported Encoding Exception,13368074,Open,Major,,27/Mar/21 09:24,,,"Hello,
I found that DFSUtil.string2Bytes(String) can be used here instead of String.getBytes(). Otherwise, the API String.getBytes() may cause potential risk of UnsupportedEncodingException since the behavior of this method when the string cannot be encoded in the default charset is unspecified. One recommended API is DFSUtil.string2Bytes(String) which provides more control over the encoding process and can avoid this exception. "
ABFS: Toggle Store Mkdirs request overwrite parameter,13361087,Resolved,Major,Fixed,26/Feb/21 03:31,14/Mar/21 08:07,3.3.1,"The call to mkdirs with overwrite set to true results in an additional call to set properties (LMT update, etc) at the backend, which is not required for the HDFS scenario. Moreover, mkdirs on an existing file path returns success. This PR provides an option to set the overwrite parameter to false, and ensures that mkdirs on a file throws an exception."
Upgrade hadoop default version in hadoop.tools.dynamometer.TestDynamometerInfra,13352400,Resolved,Major,Duplicate,15/Jan/21 04:13,07/May/21 08:19,,"Currently hadoop.tools.dynamometer.TestDynamometerInfra in trunk is failed.

{code}
[INFO] -------------------------------------------------------
[INFO]  T E S T S
[INFO] -------------------------------------------------------
[INFO] Running org.apache.hadoop.tools.dynamometer.TestDynamometerInfra
[ERROR] Tests run: 1, Failures: 0, Errors: 1, Skipped: 0, Time elapsed: 0.531 s <<< FAILURE! - in org.apache.hadoop.tools.dynamometer.TestDynamometerInfra
[ERROR] org.apache.hadoop.tools.dynamometer.TestDynamometerInfra  Time elapsed: 0.53 s  <<< ERROR!
java.io.FileNotFoundException: http://mirrors.ocf.berkeley.edu/apache/hadoop/common/hadoop-3.1.3/hadoop-3.1.3.tar.gz
        at java.base/sun.net.www.protocol.http.HttpURLConnection.getInputStream0(HttpURLConnection.java:1923)
        at java.base/sun.net.www.protocol.http.HttpURLConnection.getInputStream(HttpURLConnection.java:1523)
        at org.apache.commons.io.FileUtils.copyURLToFile(FileUtils.java:1506)
        at org.apache.hadoop.tools.dynamometer.DynoInfraUtils.fetchHadoopTarball(DynoInfraUtils.java:151)
        at org.apache.hadoop.tools.dynamometer.TestDynamometerInfra.setupClass(TestDynamometerInfra.java:176)
{code}"
ABFS to collect IOStatistics,13352272,Resolved,Major,Fixed,14/Jan/21 14:24,24/Apr/21 17:00,,"

Add stats collection to ABFS FS operations, especially
* create
* open
* delete
* rename
* getFilesStatus
* list
* attribute get/set"
ABFS: ITestAzureBlobFileSystemCheckAccess test failure if test doesn't have oauth keys,13359331,Resolved,Major,Fixed,18/Feb/21 13:52,24/Apr/21 17:32,3.3.1,"If the test isn't set up with oauth tokens, then ITestAzureBlobFileSystemCheckAccess raises illegal argument exception

# Should this downgrade to skip?
# if not:  someone needs to document how to get get oauth tokens for azure storage as the instructions documenting my last previous successful event are out of date with the latest Azure UI."
ABFS: Disable throttling update for auth failures,13363789,Resolved,Major,Fixed,11/Mar/21 09:21,16/Apr/21 05:19,3.3.1,"Throttling metrics are updated post the execution of each request. Failures related to fetching access tokens and signing requests do not occur at the Store. Hence, such operations should not contribute to the measured Store failures, and are therefore excluded from the metric update for throttling."
Distcp parallel file copy breaks the modification time,13368401,Patch Available,Major,,29/Mar/21 15:11,,,"The commit HADOOP-11794. Enable distcp to copy blocks in parallel. (bf3fb585aaf2b179836e139c041fc87920a3c886) broke the modification time of large files.

 

In CopyCommitter.java inside concatFileChunks Filesystem.concat is called which changes the modification time therefore the modification times of files copeid by distcp will not match the source files. However this only occurs for large enough files, which are copied by splitting them up by distcp.

In concatFileChunks before calling concat extract the modification time and apply that to the concatenated result-file after the concat. (probably best -after- before the rename())."
Log not flushed fully when daemon shutdown,13368684,Resolved,Major,Fixed,30/Mar/21 16:26,07/Apr/21 04:21,2.7.2,"When server generating large amount of logs and gets stopped, doesnt print all the logs. Need to call LogManager.shutdown(); to flush all the pending log to be written before shutdown."
Fix TestLogLevel,13363841,Open,Major,,11/Mar/21 13:05,,,"Found when fixing HADOOP-17572: https://ci-hadoop.apache.org/job/hadoop-multibranch/job/PR-2755/2/testReport/org.apache.hadoop.log/TestLogLevel/testLogLevelByHttp/
{noformat}
Expected to find 'Unrecognized SSL message' but got unexpected exception:javax.net.ssl.SSLException: Unsupported or unrecognized SSL message
 at sun.security.ssl.SSLSocketInputRecord.handleUnknownRecord(SSLSocketInputRecord.java:448)
 at sun.security.ssl.SSLSocketInputRecord.decode(SSLSocketInputRecord.java:184)
 at sun.security.ssl.SSLTransport.decode(SSLTransport.java:108)
 at sun.security.ssl.SSLSocketImpl.decode(SSLSocketImpl.java:1143)
 at sun.security.ssl.SSLSocketImpl.readHandshakeRecord(SSLSocketImpl.java:1054)
 at sun.security.ssl.SSLSocketImpl.startHandshake(SSLSocketImpl.java:394)
 at sun.net.www.protocol.https.HttpsClient.afterConnect(HttpsClient.java:559)
 at sun.net.www.protocol.https.AbstractDelegateHttpsURLConnection.connect(AbstractDelegateHttpsURLConnection.java:185)
 at sun.net.www.protocol.https.HttpsURLConnectionImpl.connect(HttpsURLConnectionImpl.java:167)
 at org.apache.hadoop.security.authentication.client.KerberosAuthenticator.authenticate(KerberosAuthenticator.java:186)
 at org.apache.hadoop.security.authentication.client.AuthenticatedURL.openConnection(AuthenticatedURL.java:347)
 at org.apache.hadoop.log.LogLevel$CLI.connect(LogLevel.java:271)
 at org.apache.hadoop.log.LogLevel$CLI.process(LogLevel.java:293)
 at org.apache.hadoop.log.LogLevel$CLI.doGetLevel(LogLevel.java:234)
 at org.apache.hadoop.log.LogLevel$CLI.sendLogLevelRequest(LogLevel.java:127)
 at org.apache.hadoop.log.LogLevel$CLI.run(LogLevel.java:110)
 at org.apache.hadoop.log.TestLogLevel.getLevel(TestLogLevel.java:301)
 at org.apache.hadoop.log.TestLogLevel.access$000(TestLogLevel.java:63)
 at org.apache.hadoop.log.TestLogLevel$1.call(TestLogLevel.java:279)
 at org.apache.hadoop.log.TestLogLevel$1.call(TestLogLevel.java:275)
 at org.apache.hadoop.security.authentication.KerberosTestUtils$1.run(KerberosTestUtils.java:102)
 at java.security.AccessController.doPrivileged(Native Method)
 at javax.security.auth.Subject.doAs(Subject.java:422)
 at org.apache.hadoop.security.authentication.KerberosTestUtils.doAs(KerberosTestUtils.java:99)
 at org.apache.hadoop.security.authentication.KerberosTestUtils.doAsClient(KerberosTestUtils.java:115)
 at org.apache.hadoop.log.TestLogLevel.testDynamicLogLevel(TestLogLevel.java:275)
 at org.apache.hadoop.log.TestLogLevel.testDynamicLogLevel(TestLogLevel.java:234)
 at org.apache.hadoop.log.TestLogLevel.testLogLevelByHttp(TestLogLevel.java:354)
{noformat}"
Upgrade tomcat-embed-core to 7.0.108,13367329,Resolved,Major,Fixed,24/Mar/21 18:27,12/Apr/21 17:12,,"[CVE-2021-25329|https://nvd.nist.gov/vuln/detail/CVE-2021-25329] critical severity.
Impact: [CVE-2020-9494|https://nvd.nist.gov/vuln/detail/CVE-2020-9494]
7.0.0-7.0.107 are all affected by the vulnerability.
"
Some tests in TestBlockRecovery are consistently failing,13368805,Resolved,Major,Duplicate,31/Mar/21 07:34,31/Mar/21 07:36,3.4.0,"Some long running tests in TestBlockRecovery are consistently failing. Also, TestBlockRecovery is huge with so many tests, we should refactor some of long running and race condition specific tests to separate class."
TFileDumper creates malformed hex sample output,13368121,Open,Major,,27/Mar/21 17:38,,3.2.2,"{{org.apache.hadoop.io.file.tfile.TFileDumper}} creates malformed hex output:
{code}
out.print(""0X"");
for (int j = 0; j < sampleLen; ++j) {
  byte b = key[i];
  out.printf(""%X"", b);
}
{code}
It should use {{""%02X""}} (zero-pad and use width 2) as formatting pattern; otherwise bytes < 16 will only have on hex char and for example both {{1, 0}} and {{16}} would have the result {{""10""}}."
